nazwa rozwiazania,liczba filozofow,numer filozofa,sredni czas oczekiwania
Rozwiązanie z możliwością zagłodzenia,5,2,433.926886
Rozwiązanie z możliwością zagłodzenia,5,0,439.906194
Rozwiązanie z możliwością zagłodzenia,5,3,440.915599
Rozwiązanie z możliwością zagłodzenia,5,4,443.17776599999996
Rozwiązanie z możliwością zagłodzenia,5,1,442.23003900000003
Rozwiązanie asymetryczne,5,4,402.856713
Rozwiązanie asymetryczne,5,3,458.703549
Rozwiązanie asymetryczne,5,2,463.96606999999995
Rozwiązanie asymetryczne,5,1,846.491576
Rozwiązanie asymetryczne,5,0,851.283878
Rozwiązanie z arbitrem,5,1,1911.319931
Rozwiązanie z arbitrem,5,0,1916.142893
Rozwiązanie z arbitrem,5,4,1921.2014559999998
Rozwiązanie z arbitrem,5,3,1925.9227110000002
Rozwiązanie z arbitrem,5,2,1931.519683
Rozwiązanie z możliwością zagłodzenia,10,1,438.942501
Rozwiązanie z możliwością zagłodzenia,10,9,442.709865
Rozwiązanie z możliwością zagłodzenia,10,4,442.466766
Rozwiązanie z możliwością zagłodzenia,10,7,443.32385600000003
Rozwiązanie z możliwością zagłodzenia,10,5,447.69509700000003
Rozwiązanie z możliwością zagłodzenia,10,8,448.058051
Rozwiązanie z możliwością zagłodzenia,10,3,442.732602
Rozwiązanie z możliwością zagłodzenia,10,6,446.99936099999996
Rozwiązanie z możliwością zagłodzenia,10,0,447.10294300000004
Rozwiązanie z możliwością zagłodzenia,10,2,448.410807
Rozwiązanie asymetryczne,10,4,397.622649
Rozwiązanie asymetryczne,10,7,402.60076699999996
Rozwiązanie asymetryczne,10,5,402.59232199999997
Rozwiązanie asymetryczne,10,9,402.60137499999996
Rozwiązanie asymetryczne,10,2,407.745293
Rozwiązanie asymetryczne,10,6,407.808227
Rozwiązanie asymetryczne,10,8,407.805088
Rozwiązanie asymetryczne,10,3,412.847227
Rozwiązanie asymetryczne,10,1,412.861475
Rozwiązanie asymetryczne,10,0,417.95828500000005
Rozwiązanie z arbitrem,10,6,647.173007
Rozwiązanie z arbitrem,10,9,647.439863
Rozwiązanie z arbitrem,10,1,652.200874
Rozwiązanie z arbitrem,10,8,652.0421259999999
Rozwiązanie z arbitrem,10,5,652.258705
Rozwiązanie z arbitrem,10,3,652.261149
Rozwiązanie z arbitrem,10,0,657.024776
Rozwiązanie z arbitrem,10,2,657.248611
Rozwiązanie z arbitrem,10,4,657.3199249999999
Rozwiązanie z arbitrem,10,7,657.456148
Rozwiązanie z możliwością zagłodzenia,15,14,398.24035100000003
Rozwiązanie z możliwością zagłodzenia,15,9,412.943567
Rozwiązanie z możliwością zagłodzenia,15,6,425.95403400000004
